order_id,customer_id,order_date,sku,quantity,unit_price,channel
POS-1001,CUST-001,2026-07-01,PROD-101,2,15.50,pos
POS-1002,CUST-002,2026-07-01,PROD-102,1,8.99,pos
POS-1003,CUST-003,2026-07-01,PROD-101,5,15.50,pos
POS-1004,CUST-001,2026-07-01,PROD-103,1,45.00,pos
POS-1005,CUST-004,,PROD-102,1,8.99,pos
POS-1006,CUST-005,2026-07-01,PROD-104,-3,12.00,pos
POS-1007,CUST-006,2026-07-01,PROD-105,2,-5.00,pos
POS-1008,CUST-007,2026-07-01,PROD-101,1,15.50,invalid_channel
POS-1009,CUST-002,2026-07-01,PROD-103,1,45.00,pos
POS-1010,CUST-008,2026-07-01,PROD-102,4,8.99,pos
POS-1001,CUST-001,2026-07-01,PROD-101,2,15.50,pos
